country_name,alpha_3_code,continent,sub_region
Indonesia,IDN,Asia,South-eastern Asia
Iran,IRN,Asia,Southern Asia
Iraq,IRQ,Asia,Western Asia
Ireland,IRL,Europe,Northern Europe
Isle of Man,IMN,Europe,Northern Europe
Israel,ISR,Asia,Western Asia
Italy,ITA,Europe,Southern Europe
Jamaica,JAM,Americas,Latin America and the Caribbean
Japan,JPN,Asia,Eastern Asia
Jersey,JEY,Europe,Northern Europe
Jordan,JOR,Asia,Western Asia
Kazakhstan,KAZ,Asia,Central Asia
Kenya,KEN,Africa,Sub-Saharan Africa
Kiribati,KIR,Oceania,Micronesia
North Korea,PRK,Asia,Eastern Asia
South Korea,KOR,Asia,Eastern Asia
Kuwait,KWT,Asia,Western Asia
Kyrgyzstan,KGZ,Asia,Central Asia
Lao,LAO,Asia,South-eastern Asia
Latvia,LVA,Europe,Northern Europe
Lebanon,LBN,Asia,Western Asia
Lesotho,LSO,Africa,Sub-Saharan Africa
Liberia,LBR,Africa,Sub-Saharan Africa
Libya,LBY,Africa,Northern Africa
Liechtenstein,LIE,Europe,Western Europe
Lithuania,LTU,Europe,Northern Europe
Luxembourg,LUX,Europe,Western Europe
Macao,MAC,Asia,Eastern Asia
Madagascar,MDG,Africa,Sub-Saharan Africa
Malawi,MWI,Africa,Sub-Saharan Africa
Malaysia,MYS,Asia,South-eastern Asia
Maldives,MDV,Asia,Southern Asia
Mali,MLI,Africa,Sub-Saharan Africa
Malta,MLT,Europe,Southern Europe
Marshall Islands,MHL,Oceania,Micronesia
Martinique,MTQ,Americas,Latin America and the Caribbean
Mauritania,MRT,Africa,Sub-Saharan Africa
Mauritius,MUS,Africa,Sub-Saharan Africa
Mayotte,MYT,Africa,Sub-Saharan Africa
Mexico,MEX,Americas,Latin America and the Caribbean
Micronesia,FSM,Oceania,Micronesia
Moldova,MDA,Europe,Eastern Europe
Monaco,MCO,Europe,Western Europe
Mongolia,MNG,Asia,Eastern Asia
Montenegro,MNE,Europe,Southern Europe
Montserrat,MSR,Americas,Latin America and the Caribbean
Morocco,MAR,Africa,Northern Africa
Mozambique,MOZ,Africa,Sub-Saharan Africa
Myanmar,MMR,Asia,South-eastern Asia
Namibia,NAM,Africa,Sub-Saharan Africa
Nauru,NRU,Oceania,Micronesia
Nepal,NPL,Asia,Southern Asia
Netherlands,NLD,Europe,Western Europe
New Caledonia,NCL,Oceania,Melanesia
New Zealand,NZL,Oceania,Australia and New Zealand
Nicaragua,NIC,Americas,Latin America and the Caribbean
Niger,NER,Africa,Sub-Saharan Africa
Nigeria,NGA,Africa,Sub-Saharan Africa
Niue,NIU,Oceania,Polynesia
Norfolk Island,NFK,Oceania,Australia and New Zealand
North Macedonia,MKD,Europe,Southern Europe
Northern Mariana Islands,MNP,Oceania,Micronesia
Norway,NOR,Europe,Northern Europe
Oman,OMN,Asia,Western Asia
Pakistan,PAK,Asia,Southern Asia
Palau,PLW,Oceania,Micronesia
Palestine,PSE,Asia,Western Asia
Panama,PAN,Americas,Latin America and the Caribbean
Papua New Guinea,PNG,Oceania,Melanesia
Paraguay,PRY,Americas,Latin America and the Caribbean
Peru,PER,Americas,Latin America and the Caribbean
Philippines,PHL,Asia,South-eastern Asia
Pitcairn,PCN,Oceania,Polynesia
Poland,POL,Europe,Eastern Europe
Portugal,PRT,Europe,Southern Europe
Puerto Rico,PRI,Americas,Latin America and the Caribbean
Qatar,QAT,Asia,Western Asia
Réunion,REU,Africa,Sub-Saharan Africa
Romania,ROU,Europe,Eastern Europe
Russian Federation,RUS,Europe,Eastern Europe
Rwanda,RWA,Africa,Sub-Saharan Africa
Saint Barthélemy,BLM,Americas,Latin America and the Caribbean
Saint Helena,SHN,Africa,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,Americas,Latin America and the Caribbean
Saint Lucia,LCA,Americas,Latin America and the Caribbean
Saint Martin (French part),MAF,Americas,Latin America and the Caribbean
Saint Pierre and Miquelon,SPM,Americas,Northern America
Saint Vincent and the Grenadines,VCT,Americas,Latin America and the Caribbean
Samoa,WSM,Oceania,Polynesia
San Marino,SMR,Europe,Southern Europe
Sao Tome and Principe,STP,Africa,Sub-Saharan Africa
Saudi Arabia,SAU,Asia,Western Asia
Senegal,SEN,Africa,Sub-Saharan Africa
Serbia,SRB,Europe,Southern Europe
Seychelles,SYC,Africa,Sub-Saharan Africa
Sierra Leone,SLE,Africa,Sub-Saharan Africa
Singapore,SGP,Asia,South-eastern Asia
Sint Maarten (Dutch part),SXM,Americas,Latin America and the Caribbean
Slovakia,SVK,Europe,Eastern Europe
Slovenia,SVN,Europe,Southern Europe
Solomon Islands,SLB,Oceania,Melanesia
Somalia,SOM,Africa,Sub-Saharan Africa
South Africa,ZAF,Africa,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,SGS,Americas,Latin America and the Caribbean
South Sudan,SSD,Africa,Sub-Saharan Africa
Spain,ESP,Europe,Southern Europe
Sri Lanka,LKA,Asia,Southern Asia
Sudan,SDN,Africa,Northern Africa
Suriname,SUR,Americas,Latin America and the Caribbean
Svalbard and Jan Mayen,SJM,Europe,Northern Europe
Sweden,SWE,Europe,Northern Europe
Switzerland,CHE,Europe,Western Europe
Syrian Arab Republic,SYR,Asia,Western Asia
Taiwan,TWN,Asia,Eastern Asia
Tajikistan,TJK,Asia,Central Asia
Tanzania,TZA,Africa,Sub-Saharan Africa
Thailand,THA,Asia,South-eastern Asia
Timor-Leste,TLS,Asia,South-eastern Asia
Togo,TGO,Africa,Sub-Saharan Africa
Tokelau,TKL,Oceania,Polynesia
Tonga,TON,Oceania,Polynesia
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean
Tunisia,TUN,Africa,Northern Africa
Turkey,TUR,Asia,Western Asia
Turkmenistan,TKM,Asia,Central Asia
Turks and Caicos Islands,TCA,Americas,Latin America and the Caribbean
Tuvalu,TUV,Oceania,Polynesia
Uganda,UGA,Africa,Sub-Saharan Africa
Ukraine,UKR,Europe,Eastern Europe
United Arab Emirates,ARE,Asia,Western Asia
United Kingdom,GBR,Europe,Northern Europe
United States of America,USA,Americas,Northern America
United States Minor Outlying Islands,UMI,Oceania,Micronesia
Uruguay,URY,Americas,Latin America and the Caribbean
Uzbekistan,UZB,Asia,Central Asia
Vanuatu,VUT,Oceania,Melanesia
Venezuela,VEN,Americas,Latin America and the Caribbean
Viet Nam,VNM,Asia,South-eastern Asia
Virgin Islands (British),VGB,Americas,Latin America and the Caribbean
Virgin Islands (U.S.),VIR,Americas,Latin America and the Caribbean
Wallis and Futuna,WLF,Oceania,Polynesia
Western Sahara,ESH,Africa,Northern Africa
Yemen,YEM,Asia,Western Asia
Zambia,ZMB,Africa,Sub-Saharan Africa
Zimbabwe,ZWE,Africa,Sub-Saharan Africa
